id,ground_truth,human_label,ai_label,human_correct,ai_correct,case,support,ai_confidence
42,biological,biological,biological,1,1,both_right,3200,0.801
43,biological,biological,biological,1,1,both_right,3200,0.936
44,biological,paper,biological,0,1,ai_right_human_wrong,3200,0.814
45,biological,biological,cardboard,1,0,human_right_ai_wrong,3200,0.593
46,cardboard,paper,paper,0,0,both_wrong,2800,0.652
47,cardboard,battery,cardboard,0,1,ai_right_human_wrong,2800,0.829
48,cardboard,cardboard,cardboard,1,1,both_right,2800,0.865
49,cardboard,cardboard,cardboard,1,1,both_right,2800,0.915
50,cardboard,cardboard,cardboard,1,1,both_right,2800,0.968
51,cardboard,cardboard,cardboard,1,1,both_right,2800,0.847
52,cardboard,cardboard,cardboard,1,1,both_right,2800,0.924
53,cardboard,trash,cardboard,0,1,ai_right_human_wrong,2800,0.827
54,cardboard,trash,plastic,0,0,both_wrong,2800,0.588
55,cardboard,cardboard,cardboard,1,1,both_right,2800,0.844
56,cardboard,cardboard,cardboard,1,1,both_right,2800,0.841
57,cardboard,cardboard,cardboard,1,1,both_right,2800,0.867
58,cardboard,cardboard,cardboard,1,1,both_right,2800,0.859
59,cardboard,cardboard,cardboard,1,1,both_right,2800,0.91
60,cardboard,cardboard,cardboard,1,1,both_right,2800,0.898
61,cardboard,cardboard,biological,1,0,human_right_ai_wrong,2800,0.589
62,cardboard,plastic,metal,0,0,both_wrong,2800,0.705
63,cardboard,cardboard,cardboard,1,1,both_right,2800,0.922
64,cardboard,cardboard,glass,1,0,human_right_ai_wrong,2800,0.773
65,cardboard,cardboard,cardboard,1,1,both_right,2800,0.827
66,cardboard,paper,cardboard,0,1,ai_right_human_wrong,2800,0.883
67,cardboard,cardboard,cardboard,1,1,both_right,2800,0.894
68,cardboard,cardboard,cardboard,1,1,both_right,2800,0.849
69,cardboard,cardboard,cardboard,1,1,both_right,2800,0.832
70,cardboard,cardboard,cardboard,1,1,both_right,2800,0.891
71,cardboard,cardboard,biological,1,0,human_right_ai_wrong,2800,0.76
72,cardboard,cardboard,cardboard,1,1,both_right,2800,0.841
73,cardboard,cardboard,cardboard,1,1,both_right,2800,0.839
74,cardboard,biological,cardboard,0,1,ai_right_human_wrong,2800,0.93
75,cardboard,cardboard,cardboard,1,1,both_right,2800,0.806
76,clothes,biological,trash,0,0,both_wrong,4000,0.517
77,clothes,clothes,clothes,1,1,both_right,4000,0.917
78,clothes,clothes,clothes,1,1,both_right,4000,0.882
79,clothes,clothes,clothes,1,1,both_right,4000,0.871
80,clothes,metal,clothes,0,1,ai_right_human_wrong,4000,0.945
81,clothes,clothes,clothes,1,1,both_right,4000,0.883
82,clothes,clothes,clothes,1,1,both_right,4000,0.924
83,clothes,clothes,clothes,1,1,both_right,4000,0.941
84,clothes,clothes,clothes,1,1,both_right,4000,0.911
85,clothes,clothes,clothes,1,1,both_right,4000,0.973
86,clothes,clothes,clothes,1,1,both_right,4000,0.899
87,clothes,clothes,clothes,1,1,both_right,4000,0.839
88,clothes,clothes,clothes,1,1,both_right,4000,0.898
89,clothes,plastic,biological,0,0,both_wrong,4000,0.489
90,clothes,clothes,clothes,1,1,both_right,4000,0.936
91,clothes,clothes,clothes,1,1,both_right,4000,0.848
92,clothes,clothes,clothes,1,1,both_right,4000,0.856
93,clothes,clothes,clothes,1,1,both_right,4000,0.978
94,clothes,clothes,clothes,1,1,both_right,4000,0.872
95,clothes,glass,clothes,0,1,ai_right_human_wrong,4000,0.966
96,clothes,metal,metal,0,0,both_wrong,4000,0.854
97,clothes,clothes,clothes,1,1,both_right,4000,0.884
98,clothes,trash,clothes,0,1,ai_right_human_wrong,4000,0.838
99,clothes,clothes,clothes,1,1,both_right,4000,0.812
100,clothes,plastic,clothes,0,1,ai_right_human_wrong,4000,0.825
101,clothes,battery,clothes,0,1,ai_right_human_wrong,4000,0.848
102,clothes,clothes,clothes,1,1,both_right,4000,0.94
103,clothes,clothes,clothes,1,1,both_right,4000,0.841
104,clothes,clothes,clothes,1,1,both_right,4000,0.876
105,clothes,clothes,trash,1,0,human_right_ai_wrong,4000,0.596
106,clothes,clothes,clothes,1,1,both_right,4000,0.832
107,clothes,metal,battery,0,0,both_wrong,4000,0.851
108,clothes,clothes,clothes,1,1,both_right,4000,0.979
109,clothes,clothes,clothes,1,1,both_right,4000,0.867
110,clothes,clothes,clothes,1,1,both_right,4000,0.883
111,clothes,clothes,clothes,1,1,both_right,4000,0.86
112,clothes,clothes,clothes,1,1,both_right,4000,0.866
113,clothes,clothes,clothes,1,1,both_right,4000,0.924
114,clothes,clothes,clothes,1,1,both_right,4000,0.932
115,clothes,clothes,clothes,1,1,both_right,4000,0.857
116,clothes,clothes,clothes,1,1,both_right,4000,0.826
117,clothes,clothes,clothes,1,1,both_right,4000,0.927
118,clothes,clothes,clothes,1,1,both_right,4000,0.879
119,clothes,clothes,clothes,1,1,both_right,4000,0.965
120,clothes,clothes,clothes,1,1,both_right,4000,0.874
121,metal,metal,metal,1,1,both_right,3000,0.905
122,metal,metal,metal,1,1,both_right,3000,0.878
123,metal,metal,metal,1,1,both_right,3000,0.812
124,metal,metal,metal,1,1,both_right,3000,0.85
125,metal,metal,metal,1,1,both_right,3000,0.87
126,metal,metal,metal,1,1,both_right,3000,0.891
127,metal,metal,metal,1,1,both_right,3000,0.936
128,metal,biological,paper,0,0,both_wrong,3000,0.838
129,metal,metal,metal,1,1,both_right,3000,0.897
130,metal,metal,metal,1,1,both_right,3000,0.864
131,metal,clothes,metal,0,1,ai_right_human_wrong,3000,0.945
132,metal,metal,metal,1,1,both_right,3000,0.834
133,metal,metal,metal,1,1,both_right,3000,0.96
134,metal,cardboard,plastic,0,0,both_wrong,3000,0.898
135,metal,metal,metal,1,1,both_right,3000,0.838
136,metal,metal,metal,1,1,both_right,3000,0.842
137,metal,battery,metal,0,1,ai_right_human_wrong,3000,0.827
138,metal,clothes,metal,0,1,ai_right_human_wrong,3000,0.807
139,metal,metal,metal,1,1,both_right,3000,0.863
140,metal,plastic,metal,0,1,ai_right_human_wrong,3000,0.96
141,metal,metal,metal,1,1,both_right,3000,0.842
142,metal,metal,trash,1,0,human_right_ai_wrong,3000,0.894
143,metal,metal,glass,1,0,human_right_ai_wrong,3000,0.487
144,metal,battery,metal,0,1,ai_right_human_wrong,3000,0.927
145,metal,metal,metal,1,1,both_right,3000,0.812
146,metal,metal,metal,1,1,both_right,3000,0.975
147,metal,metal,metal,1,1,both_right,3000,0.849
148,metal,battery,metal,0,1,ai_right_human_wrong,3000,0.938
149,metal,biological,metal,0,1,ai_right_human_wrong,3000,0.876
150,metal,metal,metal,1,1,both_right,3000,0.962
151,metal,metal,metal,1,1,both_right,3000,0.889
152,metal,metal,metal,1,1,both_right,3000,0.801
153,metal,biological,biological,0,0,both_wrong,3000,0.497
154,metal,glass,metal,0,1,ai_right_human_wrong,3000,0.849
155,metal,metal,metal,1,1,both_right,3000,0.814
156,paper,paper,paper,1,1,both_right,3100,0.93
157,paper,paper,paper,1,1,both_right,3100,0.838
158,paper,paper,paper,1,1,both_right,3100,0.968
159,paper,paper,paper,1,1,both_right,3100,0.869
160,paper,paper,paper,1,1,both_right,3100,0.858
161,paper,battery,paper,0,1,ai_right_human_wrong,3100,0.809
162,paper,glass,paper,0,1,ai_right_human_wrong,3100,0.976
163,paper,paper,paper,1,1,both_right,3100,0.967
164,paper,trash,paper,0,1,ai_right_human_wrong,3100,0.903
165,paper,paper,paper,1,1,both_right,3100,0.894
166,paper,paper,paper,1,1,both_right,3100,0.815
167,paper,plastic,trash,0,0,both_wrong,3100,0.775
168,paper,paper,paper,1,1,both_right,3100,0.972
169,paper,paper,paper,1,1,both_right,3100,0.892
170,paper,paper,paper,1,1,both_right,3100,0.8
171,paper,battery,battery,0,0,both_wrong,3100,0.84
172,paper,trash,paper,0,1,ai_right_human_wrong,3100,0.861
173,paper,paper,paper,1,1,both_right,3100,0.922
174,paper,paper,paper,1,1,both_right,3100,0.825
175,paper,paper,paper,1,1,both_right,3100,0.829
176,paper,paper,paper,1,1,both_right,3100,0.928
177,paper,paper,paper,1,1,both_right,3100,0.892
178,paper,paper,paper,1,1,both_right,3100,0.906
179,paper,paper,paper,1,1,both_right,3100,0.894
180,paper,paper,paper,1,1,both_right,3100,0.969
181,paper,paper,paper,1,1,both_right,3100,0.942
182,paper,paper,paper,1,1,both_right,3100,0.962
183,paper,paper,paper,1,1,both_right,3100,0.852
184,paper,paper,paper,1,1,both_right,3100,0.976
185,paper,glass,paper,0,1,ai_right_human_wrong,3100,0.818
186,paper,paper,paper,1,1,both_right,3100,0.816
187,paper,paper,trash,1,0,human_right_ai_wrong,3100,0.54
188,paper,paper,paper,1,1,both_right,3100,0.861
189,paper,cardboard,biological,0,0,both_wrong,3100,0.474
190,paper,metal,clothes,0,0,both_wrong,3100,0.573
191,plastic,plastic,plastic,1,1,both_right,4200,0.817
192,plastic,plastic,plastic,1,1,both_right,4200,0.812
193,plastic,plastic,plastic,1,1,both_right,4200,0.861
194,plastic,plastic,plastic,1,1,both_right,4200,0.819
195,plastic,metal,plastic,0,1,ai_right_human_wrong,4200,0.942
196,plastic,glass,cardboard,0,0,both_wrong,4200,0.626
197,plastic,plastic,plastic,1,1,both_right,4200,0.875
198,plastic,plastic,plastic,1,1,both_right,4200,0.972
199,plastic,biological,plastic,0,1,ai_right_human_wrong,4200,0.859
200,plastic,plastic,plastic,1,1,both_right,4200,0.886
201,plastic,plastic,plastic,1,1,both_right,4200,0.895
202,plastic,plastic,plastic,1,1,both_right,4200,0.941
203,plastic,plastic,plastic,1,1,both_right,4200,0.956
204,plastic,plastic,plastic,1,1,both_right,4200,0.921
205,plastic,cardboard,cardboard,0,0,both_wrong,4200,0.558
206,plastic,plastic,plastic,1,1,both_right,4200,0.872
207,plastic,plastic,plastic,1,1,both_right,4200,0.904
208,plastic,plastic,plastic,1,1,both_right,4200,0.938
209,plastic,plastic,plastic,1,1,both_right,4200,0.973
210,plastic,plastic,plastic,1,1,both_right,4200,0.957
211,plastic,glass,plastic,0,1,ai_right_human_wrong,4200,0.962
212,plastic,trash,plastic,0,1,ai_right_human_wrong,4200,0.925
213,plastic,plastic,plastic,1,1,both_right,4200,0.97
214,plastic,plastic,plastic,1,1,both_right,4200,0.892
215,plastic,plastic,plastic,1,1,both_right,4200,0.816
216,plastic,plastic,cardboard,1,0,human_right_ai_wrong,4200,0.896
217,plastic,paper,paper,0,0,both_wrong,4200,0.742
218,plastic,plastic,plastic,1,1,both_right,4200,0.855
219,plastic,plastic,plastic,1,1,both_right,4200,0.873
220,plastic,plastic,plastic,1,1,both_right,4200,0.965
221,plastic,battery,plastic,0,1,ai_right_human_wrong,4200,0.86
222,plastic,glass,plastic,0,1,ai_right_human_wrong,4200,0.876
223,plastic,plastic,plastic,1,1,both_right,4200,0.967
224,plastic,plastic,plastic,1,1,both_right,4200,0.866
225,plastic,plastic,plastic,1,1,both_right,4200,0.818
226,plastic,plastic,paper,1,0,human_right_ai_wrong,4200,0.647
227,plastic,plastic,plastic,1,1,both_right,4200,0.873
228,plastic,plastic,biological,1,0,human_right_ai_wrong,4200,0.606
229,plastic,glass,plastic,0,1,ai_right_human_wrong,4200,0.853
230,plastic,plastic,plastic,1,1,both_right,4200,0.873
231,plastic,clothes,plastic,0,1,ai_right_human_wrong,4200,0.876
232,plastic,paper,plastic,0,1,ai_right_human_wrong,4200,0.894
233,plastic,plastic,plastic,1,1,both_right,4200,0.928
234,plastic,plastic,plastic,1,1,both_right,4200,0.805
235,plastic,plastic,plastic,1,1,both_right,4200,0.824
236,trash,plastic,trash,0,1,ai_right_human_wrong,3500,0.92
237,trash,trash,plastic,1,0,human_right_ai_wrong,3500,0.553
238,trash,trash,trash,1,1,both_right,3500,0.893
239,trash,trash,trash,1,1,both_right,3500,0.829
240,trash,metal,cardboard,0,0,both_wrong,3500,0.8
241,trash,trash,trash,1,1,both_right,3500,0.882
242,trash,trash,battery,1,0,human_right_ai_wrong,3500,0.873
243,trash,paper,trash,0,1,ai_right_human_wrong,3500,0.926
244,trash,clothes,battery,0,0,both_wrong,3500,0.644
245,trash,trash,trash,1,1,both_right,3500,0.857
246,trash,trash,trash,1,1,both_right,3500,0.886
247,trash,trash,trash,1,1,both_right,3500,0.961
248,trash,clothes,cardboard,0,0,both_wrong,3500,0.798
249,trash,trash,trash,1,1,both_right,3500,0.884
250,trash,trash,trash,1,1,both_right,3500,0.951
251,trash,trash,trash,1,1,both_right,3500,0.842
252,trash,trash,trash,1,1,both_right,3500,0.894
253,trash,trash,trash,1,1,both_right,3500,0.914
254,trash,trash,trash,1,1,both_right,3500,0.868
255,trash,trash,trash,1,1,both_right,3500,0.901
256,trash,trash,trash,1,1,both_right,3500,0.853
257,trash,trash,trash,1,1,both_right,3500,0.978
258,trash,metal,trash,0,1,ai_right_human_wrong,3500,0.913
259,trash,paper,trash,0,1,ai_right_human_wrong,3500,0.968
260,trash,trash,trash,1,1,both_right,3500,0.879
261,trash,trash,trash,1,1,both_right,3500,0.977
262,trash,glass,battery,0,0,both_wrong,3500,0.914
263,trash,battery,paper,0,0,both_wrong,3500,0.723
264,trash,trash,trash,1,1,both_right,3500,0.864
265,trash,trash,trash,1,1,both_right,3500,0.837
266,trash,trash,trash,1,1,both_right,3500,0.977
267,trash,trash,trash,1,1,both_right,3500,0.842
268,trash,metal,trash,0,1,ai_right_human_wrong,3500,0.81
269,trash,trash,glass,1,0,human_right_ai_wrong,3500,0.827
270,trash,trash,trash,1,1,both_right,3500,0.957
271,glass,glass,glass,1,1,both_right,2900,0.875
272,glass,glass,glass,1,1,both_right,2900,0.86
273,glass,glass,glass,1,1,both_right,2900,0.968
274,glass,battery,cardboard,0,0,both_wrong,2900,0.648
275,glass,glass,glass,1,1,both_right,2900,0.913
276,glass,clothes,glass,0,1,ai_right_human_wrong,2900,0.877
277,glass,glass,glass,1,1,both_right,2900,0.84
278,glass,paper,cardboard,0,0,both_wrong,2900,0.53
279,glass,glass,glass,1,1,both_right,2900,0.911
280,glass,metal,glass,0,1,ai_right_human_wrong,2900,0.916
281,glass,glass,glass,1,1,both_right,2900,0.915
282,glass,glass,glass,1,1,both_right,2900,0.863
283,glass,glass,glass,1,1,both_right,2900,0.871
284,glass,glass,glass,1,1,both_right,2900,0.848
285,glass,glass,glass,1,1,both_right,2900,0.942
286,glass,glass,metal,1,0,human_right_ai_wrong,2900,0.775
287,glass,glass,glass,1,1,both_right,2900,0.975
288,glass,glass,glass,1,1,both_right,2900,0.96
289,glass,glass,glass,1,1,both_right,2900,0.877
290,glass,glass,glass,1,1,both_right,2900,0.936
291,glass,glass,glass,1,1,both_right,2900,0.916
292,glass,paper,glass,0,1,ai_right_human_wrong,2900,0.897
293,glass,glass,glass,1,1,both_right,2900,0.825
294,glass,paper,clothes,0,0,both_wrong,2900,0.552
295,glass,glass,battery,1,0,human_right_ai_wrong,2900,0.797
296,glass,glass,glass,1,1,both_right,2900,0.832
297,glass,plastic,glass,0,1,ai_right_human_wrong,2900,0.816
298,glass,glass,glass,1,1,both_right,2900,0.82
299,glass,glass,glass,1,1,both_right,2900,0.941
300,glass,glass,glass,1,1,both_right,2900,0.969
